Date,usdPRICE,usdopen,usdhigh,usdlow,Change ,Price,Open,High,Low
09 25 2014,77.39,77.23,77.39,77.21,0.05,1.190615385,1.188153846,1.190615385,1.187846154
09 26 2014,77.375,77.21,77.375,77.18,-0.02,1.190384615,1.187846154,1.190384615,1.187384615
09 29 2014,77.275,77.3,77.425,77.15,-0.13,1.188846154,1.189230769,1.191153846,1.186923077
09 30 2014,77.445,77.15,77.475,77.15,0.22,1.191461538,1.186923077,1.191923077,1.186923077
10 01 2014,77.37,77.32,77.4,77.32,-0.1,1.190307692,1.189538462,1.190769231,1.189538462
10 02 2014,77.35,77.32,77.4,77.3,-0.03,1.19,1.189538462,1.190769231,1.189230769
10 03 2014,77.425,77.3,77.445,77.3,0.1,1.191153846,1.189230769,1.191461538,1.189230769
10 06 2014,77.425,77.3,77.425,77.3,0,1.191153846,1.189230769,1.191153846,1.189230769
10 07 2014,77.425,77.3,77.425,77.3,0,1.191153846,1.189230769,1.191153846,1.189230769
10 08 2014,77.455,77.3,77.475,77.3,0.04,1.191615385,1.189230769,1.191923077,1.189230769
10 09 2014,77.455,77.33,77.475,77.33,0,1.191615385,1.189692308,1.191923077,1.189692308
10 10 2014,77.455,77.33,77.455,77.33,0,1.191615385,1.189692308,1.191615385,1.189692308
10 13 2014,77.37,77.33,77.4,77.32,-0.11,1.190307692,1.189692308,1.190769231,1.189538462
10 14 2014,77.38,77.32,77.4,77.32,0.01,1.190461538,1.189538462,1.190769231,1.189538462
10 15 2014,77.3,77.33,77.4,77.25,-0.1,1.189230769,1.189692308,1.190769231,1.188461538
10 16 2014,77.375,77.25,77.425,77.25,0.1,1.190384615,1.188461538,1.191153846,1.188461538
10 17 2014,77.375,77.25,77.375,77.23,0,1.190384615,1.188461538,1.190384615,1.188153846
10 20 2014,77.425,77.25,77.475,77.25,0.06,1.191153846,1.188461538,1.191923077,1.188461538
10 21 2014,77.425,77.3,77.475,77.3,0,1.191153846,1.189230769,1.191923077,1.189230769
10 22 2014,77.455,77.3,77.475,77.3,0.04,1.191615385,1.189230769,1.191923077,1.189230769
10 23 2014,77.455,77.33,77.475,77.33,0,1.191615385,1.189692308,1.191923077,1.189692308
10 24 2014,77.455,77.33,77.455,77.33,0,1.191615385,1.189692308,1.191615385,1.189692308
10 27 2014,77.425,77.33,77.475,77.3,-0.04,1.191153846,1.189692308,1.191923077,1.189230769
10 28 2014,77.425,77.3,77.485,77.3,0,1.191153846,1.189230769,1.192076923,1.189230769
10 29 2014,77.425,77.3,77.425,77.3,0,1.191153846,1.189230769,1.191153846,1.189230769
10 30 2014,77.425,77.3,77.425,77.3,0,1.191153846,1.189230769,1.191153846,1.189230769
10 31 2014,77.425,77.3,77.425,77.3,0,1.191153846,1.189230769,1.191153846,1.189230769
11 03 2014,77.395,77.3,77.425,77.27,-0.04,1.190692308,1.189230769,1.191153846,1.188769231
11 04 2014,77.325,77.27,77.395,77.2,-0.09,1.189615385,1.188769231,1.190692308,1.187692308
11 05 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 06 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 07 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 10 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 11 2014,77.305,77.2,77.325,77.18,-0.03,1.189307692,1.187692308,1.189615385,1.187384615
