"Date","Price","Open","High","Low","Change %"
"Feb 06, 2015","77.875","77.750","77.875","77.730","0.00"
"Feb 05, 2015","77.875","77.700","77.875","77.700","0.06"
"Feb 04, 2015","77.825","77.700","77.825","77.680","0.00"
"Feb 03, 2015","77.825","77.700","77.825","77.700","0.00"
"Feb 02, 2015","77.825","77.350","77.825","77.350","0.45"
"Jan 30, 2015","77.475","77.350","77.475","77.350","0.00"
"Jan 29, 2015","77.475","77.750","77.875","77.350","-0.51"
"Jan 28, 2015","77.875","77.670","77.875","77.650","0.10"
"Jan 27, 2015","77.795","77.740","77.875","77.670","-0.09"
"Jan 26, 2015","77.865","77.750","77.875","77.740","-0.01"
"Jan 23, 2015","77.875","77.750","77.875","77.740","0.00"
"Jan 22, 2015","77.875","77.750","77.875","77.730","0.00"
"Jan 21, 2015","77.875","77.750","77.875","77.750","0.00"
"Jan 20, 2015","77.875","77.750","77.875","77.750","0.03"
"Jan 19, 2015","77.855","77.750","77.875","77.730","-0.03"
"Jan 16, 2015","77.875","77.730","77.875","77.730","0.03"
"Jan 15, 2015","77.855","77.720","77.875","77.720","0.01"
"Jan 14, 2015","77.845","77.750","77.875","77.700","-0.04"
"Jan 13, 2015","77.875","77.700","77.875","77.700","0.06"
"Jan 12, 2015","77.825","77.750","77.875","77.700","-0.06"
"Jan 09, 2015","77.875","77.750","77.875","77.720","0.00"
"Jan 08, 2015","77.875","77.750","77.875","77.730","0.00"
"Jan 07, 2015","77.875","77.750","77.875","77.750","-0.17"
"Jan 06, 2015","78.005","77.750","78.075","77.750","0.17"
"Jan 05, 2015","77.875","77.770","77.895","77.750","-0.03"
"Jan 02, 2015","77.895","77.800","77.925","77.770","-0.04"
"Jan 01, 2015","77.925","77.800","77.925","77.800","0.00"
"Dec 31, 2014","77.925","77.770","77.925","77.770","0.04"
"Dec 30, 2014","77.895","77.800","77.925","77.770","-0.04"
"Dec 29, 2014","77.925","77.800","77.925","77.780","0.00"
"Dec 26, 2014","77.925","77.820","77.945","77.800","-0.03"
"Dec 25, 2014","77.945","77.820","77.945","77.820","0.00"
"Dec 24, 2014","77.945","77.830","77.955","77.820","-0.01"
"Dec 23, 2014","77.955","77.850","78.425","77.830","-0.03"
"Dec 22, 2014","77.975","77.200","78.025","77.200","0.84"
"Dec 19, 2014","77.325","77.200","77.325","77.180","0.00"
"Dec 18, 2014","77.325","77.180","77.325","77.180","0.03"
"Dec 17, 2014","77.305","77.200","77.325","77.180","-0.03"
"Dec 16, 2014","77.325","77.200","77.325","77.200","0.00"
"Dec 15, 2014","77.325","77.200","77.325","77.180","0.00"
"Dec 12, 2014","77.325","77.170","77.325","77.150","0.04"
"Dec 11, 2014","77.295","77.200","77.325","77.170","-0.04"
"Dec 10, 2014","77.325","77.200","77.325","77.170","0.00"
"Dec 09, 2014","77.325","77.200","77.325","77.180","0.00"
"Dec 08, 2014","77.325","77.170","77.325","77.170","0.04"
"Dec 05, 2014","77.295","77.200","77.325","77.170","-0.04"
"Dec 04, 2014","77.325","77.180","77.325","77.180","0.03"
"Dec 03, 2014","77.305","77.200","77.325","77.180","-0.03"
"Dec 02, 2014","77.325","77.200","77.325","77.180","0.00"
"Dec 01, 2014","77.325","77.180","77.325","77.180","0.03"
"Nov 28, 2014","77.305","77.180","77.305","77.180","0.00"
"Nov 27, 2014","77.305","77.180","77.305","77.180","0.00"
