Date,Price,Open,High,Low,Change 
11 27 2014,7.979,7.9673,7.988,7.9597,0.12
11 28 2014,8.0221,7.9769,8.0282,7.9641,0.54
12 01 2014,7.9884,8.0202,8.0267,7.9861,-0.42
12 02 2014,7.9686,7.9867,7.997,7.9674,-0.25
12 03 2014,7.979,7.9678,7.9919,7.9671,0.13
12 04 2014,7.9716,7.9763,7.9925,7.968,-0.09
12 05 2014,7.9882,7.9694,7.9889,7.9678,0.21
12 08 2014,7.976,7.9855,8.0005,7.9742,-0.15
12 09 2014,7.9819,7.9745,7.9918,7.9734,0.07
12 10 2014,8.0137,7.9801,8.0138,7.9655,0.4
12 11 2014,8.06,8.0123,8.0609,7.9974,0.58
12 12 2014,8.0665,8.0584,8.0669,8.0222,0.08
12 15 2014,8.1483,8.0643,8.1495,8.0353,1.01
12 16 2014,8.2097,8.1467,8.2107,8.0992,0.75
12 17 2014,8.1904,8.2077,8.2398,8.1808,-0.24
12 18 2014,8.1212,8.1889,8.192,8.1174,-0.84
12 19 2014,8.1573,8.1201,8.1668,8.1193,0.44
12 22 2014,8.1532,8.1558,8.1667,8.14,-0.05
12 23 2014,8.1786,8.1511,8.1869,8.1461,0.31
12 24 2014,8.1833,8.1771,8.1892,8.1672,0.06
12 25 2014,8.1856,8.1825,8.1863,8.1812,0.03
12 26 2014,8.1894,8.1848,8.2086,8.1761,0.05
12 29 2014,8.2067,8.1893,8.2122,8.188,0.21
12 30 2014,8.1713,8.2059,8.2232,8.1665,-0.43
12 31 2014,8.1294,8.1703,8.1726,8.1246,-0.51
01 01 2015,8.1707,8.1467,8.1836,8.1467,0.51
01 02 2015,8.1589,8.1698,8.1883,8.1532,-0.14
01 05 2015,8.1672,8.1576,8.1871,8.1563,0.1
01 06 2015,8.1987,8.1664,8.2054,8.1644,0.39
01 07 2015,8.16,8.1979,8.1994,8.1446,-0.47
01 08 2015,8.0824,8.1585,8.1599,8.0704,-0.95
01 09 2015,8.0431,8.0816,8.0835,8.0324,-0.49
01 12 2015,8.0066,8.0406,8.0432,8.0041,-0.45
01 13 2015,7.9943,8.0051,8.0216,7.991,-0.15
01 14 2015,8.008,7.9928,8.0262,7.9916,0.17
01 15 2015,8.0055,8.0071,8.0126,7.9279,-0.03
01 16 2015,7.982,8.0046,8.0256,7.9707,-0.29
01 19 2015,7.952,7.9809,7.9839,7.945,-0.38
01 20 2015,7.9529,7.9499,7.985,7.9486,0.01
01 21 2015,7.9424,7.9521,7.9622,7.936,-0.13
01 22 2015,7.946,7.9409,7.967,7.931,0.05
01 23 2015,7.9247,7.9439,7.9486,7.9149,-0.27
01 26 2015,7.931,7.9244,7.9364,7.9228,0.08
01 27 2015,7.9218,7.9289,7.9365,7.9113,-0.12
01 28 2015,7.9153,7.9196,7.9383,7.9009,-0.08
01 29 2015,7.9722,7.913,7.9947,7.9122,0.72
01 30 2015,8.0002,7.9716,8.003,7.9589,0.35
02 02 2015,7.9609,7.9982,8.0073,7.949,-0.49
02 03 2015,7.9438,7.9595,7.9759,7.9381,-0.21
02 04 2015,7.9771,7.9425,7.9836,7.9382,0.42
02 05 2015,7.9598,7.9757,7.9901,7.9545,-0.22
02 06 2015,7.9931,7.9585,8.0005,7.9536,0.42
02 09 2015,8.0153,8.0015,8.0254,7.9887,0.28
02 10 2015,8.0387,8.0137,8.044,7.986,0.29
02 11 2015,8.0447,8.0371,8.0516,8.0093,0.07
02 12 2015,8.0152,8.0431,8.0657,7.9974,-0.37
02 13 2015,8.0036,8.0123,8.0248,7.9952,-0.14
02 16 2015,8.004,8.008,8.024,8.0012,0
02 17 2015,8.0103,8.0027,8.0273,7.998,0.08
02 18 2015,7.9989,8.009,8.0381,7.9899,-0.14
02 19 2015,8.0093,7.9982,8.0148,7.9939,0.13
02 20 2015,8.0042,8.008,8.0309,8.0019,-0.06
02 23 2015,8.0138,8.0232,8.036,8.0047,0.12
02 24 2015,8.015,8.0131,8.0387,8.0001,0.01
02 25 2015,7.9748,8.0136,8.0152,7.9709,-0.5
02 26 2015,7.9604,7.9746,7.9947,7.9508,-0.18
02 27 2015,7.9499,7.9604,7.9843,7.948,-0.13
03 02 2015,7.9765,7.9555,7.995,7.9513,0.33
03 03 2015,7.971,7.9752,7.9909,7.9639,-0.07
03 04 2015,8.0341,7.9695,8.0447,7.949,0.79
03 05 2015,8.0433,8.0327,8.0498,8.0125,0.11
03 06 2015,8.0524,8.0428,8.0535,8.0309,0.11
03 09 2015,8.0712,8.0503,8.0933,8.0425,0.23
03 10 2015,8.081,8.0693,8.0981,8.0603,0.12
03 11 2015,8.0792,8.0797,8.1021,8.0697,-0.02
03 12 2015,8.0497,8.0772,8.0884,8.0329,-0.37
03 13 2015,8.1233,8.0508,8.1261,8.0401,0.91
03 16 2015,8.0853,8.1225,8.1306,8.0812,-0.47
03 17 2015,8.0673,8.0837,8.0951,8.0641,-0.22
03 18 2015,8.0811,8.0693,8.0944,8.0655,0.17
03 19 2015,8.0538,8.078,8.085,8.039,-0.34
03 20 2015,8.0446,8.0518,8.0686,8.0392,-0.11
03 23 2015,8.0231,8.0421,8.0463,8.02,-0.27
03 24 2015,8.0382,8.0209,8.0487,8.0121,0.19
03 25 2015,8.0482,8.036,8.0533,8.0258,0.12
03 26 2015,8.103,8.0489,8.1043,8.0487,0.68
03 27 2015,8.0638,8.1012,8.106,8.0452,-0.48
03 30 2015,8.0606,8.0615,8.0861,8.0491,-0.04
03 31 2015,8.0351,8.0587,8.0831,8.0311,-0.32
04 01 2015,8.0157,8.0336,8.0476,8.0134,-0.24
04 02 2015,8.0058,8.017,8.0286,8.0014,-0.12
04 03 2015,7.9924,8.0039,8.0167,7.9882,-0.17
04 06 2015,8.0239,7.9909,8.0283,7.9861,0.39
04 07 2015,8.0361,8.0225,8.0526,8.0215,0.15
04 08 2015,8.025,8.0346,8.047,8.0158,-0.14
04 09 2015,8.0395,8.0224,8.0435,8.0169,0.18
04 10 2015,8.0355,8.037,8.0549,8.025,-0.05
04 13 2015,8.0525,8.0341,8.0742,8.0218,0.21
04 14 2015,8.0316,8.0511,8.0548,8.0238,-0.26
04 15 2015,8.0442,8.0297,8.0593,8.0296,0.16
04 16 2015,8.0383,8.0431,8.0515,8.0283,-0.07
04 17 2015,8.0688,8.0369,8.0689,8.0358,0.38
04 20 2015,8.1466,8.0679,8.1504,8.0627,0.96
04 21 2015,8.1099,8.1454,8.1502,8.0954,-0.45
04 22 2015,8.1263,8.1119,8.1317,8.0917,0.2
04 23 2015,8.1646,8.1245,8.1843,8.1137,0.47
