pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10027,Bangladesh_Pr,NA,25.213366,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10077,China_P_Rp,NA,1.725434,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10179,Hong_Kong,NA,0.159854,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10205,Japan,NA,0.248263,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10217,Korea_Rp,NA,9.509291,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10245,Malaysia,NA,1.952729,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10273,Nepal,NA,0.011025,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10359,Singapore,NA,1.342242,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,10437,Vietnam_Soc_Rep,NA,0.332182,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,11351,Saudi_Arab,NA,1.145119,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,11419,U_Arab_Emts,NA,0.692445,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,13147,Germany,NA,5.205363,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,13421,U_K,NA,2.898602,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,5423,U_S_A,NA,0.522437,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,10027,Bangladesh_Pr,NA,0.922511,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,10205,Japan,NA,338.211372,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,10245,Malaysia,NA,190.614908,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,10273,Nepal,NA,0.008643,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,10359,Singapore,NA,702.631653,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,11351,Saudi_Arab,NA,0.061784,Manifacutred_goods
O7,"Ship,_Boat_And_Floating_Struct",Na,11419,U_Arab_Emts,NA,782.052935,Manifacutred_goods
