,Point.Forecast,Lo.10,Hi.10,date
1231,17.7464956,17.64560281,17.84738838,19-06-2018
1232,17.7464956,17.64537704,17.84761415,20-06-2018
1233,17.7464956,17.64515178,17.84783941,21-06-2018
1234,17.7464956,17.64492701,17.84806418,22-06-2018
1235,17.7464956,17.64470274,17.84828845,23-06-2018
1236,17.7464956,17.64447897,17.84851223,24-06-2018
1237,17.7464956,17.64425568,17.84873552,25-06-2018
1238,17.7464956,17.64403288,17.84895832,26-06-2018
1239,17.7464956,17.64381056,17.84918063,27-06-2018
1240,17.7464956,17.64358872,17.84940247,28-06-2018
1241,17.7464956,17.64336736,17.84962383,29-06-2018
1242,17.7464956,17.64314648,17.84984471,30-06-2018
1243,17.7464956,17.64292606,17.85006513,01-07-2018
1244,17.7464956,17.64270612,17.85028508,02-07-2018
1245,17.7464956,17.64248664,17.85050456,03-07-2018
1246,17.7464956,17.64226762,17.85072358,04-07-2018
1247,17.7464956,17.64204906,17.85094214,05-07-2018
1248,17.7464956,17.64183095,17.85116024,06-07-2018
1249,17.7464956,17.6416133,17.85137789,07-07-2018
1250,17.7464956,17.64139611,17.85159509,08-07-2018
1251,17.7464956,17.64117935,17.85181184,09-07-2018
1252,17.7464956,17.64096305,17.85202815,10-07-2018
1253,17.7464956,17.64074718,17.85224401,11-07-2018
1254,17.7464956,17.64053176,17.85245943,12-07-2018
1255,17.7464956,17.64031677,17.85267442,13-07-2018
1256,17.7464956,17.64010222,17.85288897,14-07-2018
1257,17.7464956,17.6398881,17.85310309,15-07-2018
1258,17.7464956,17.63967441,17.85331678,16-07-2018
1259,17.7464956,17.63946115,17.85353005,17-07-2018
1260,17.7464956,17.6392483,17.85374289,18-07-2018
1261,17.7464956,17.63903589,17.85395531,19-07-2018
1262,17.7464956,17.63882389,17.85416731,20-07-2018
1263,17.7464956,17.6386123,17.85437889,21-07-2018
1264,17.7464956,17.63840113,17.85459006,22-07-2018
1265,17.7464956,17.63819038,17.85480082,23-07-2018
1266,17.7464956,17.63798003,17.85501117,24-07-2018
1267,17.7464956,17.63777009,17.85522111,25-07-2018
1268,17.7464956,17.63756055,17.85543064,26-07-2018
1269,17.7464956,17.63735142,17.85563978,27-07-2018
1270,17.7464956,17.63714268,17.85584851,28-07-2018
1271,17.7464956,17.63693434,17.85605685,29-07-2018
1272,17.7464956,17.6367264,17.85626479,30-07-2018
1273,17.7464956,17.63651885,17.85647234,31-07-2018
1274,17.7464956,17.6363117,17.8566795,01-08-2018
1275,17.7464956,17.63610493,17.85688626,02-08-2018
1276,17.7464956,17.63589855,17.85709265,03-08-2018
1277,17.7464956,17.63569255,17.85729864,04-08-2018
1278,17.7464956,17.63548693,17.85750426,05-08-2018
1279,17.7464956,17.6352817,17.85770949,06-08-2018
1280,17.7464956,17.63507684,17.85791435,07-08-2018
1281,17.7464956,17.63487236,17.85811883,08-08-2018
1282,17.7464956,17.63466825,17.85832294,09-08-2018
1283,17.7464956,17.63446452,17.85852667,10-08-2018
1284,17.7464956,17.63426115,17.85873004,11-08-2018
1285,17.7464956,17.63405816,17.85893304,12-08-2018
1286,17.7464956,17.63385552,17.85913567,13-08-2018
1287,17.7464956,17.63365326,17.85933794,14-08-2018
1288,17.7464956,17.63345135,17.85953984,15-08-2018
1289,17.7464956,17.6332498,17.85974139,16-08-2018
1290,17.7464956,17.63304862,17.85994258,17-08-2018
1291,17.7464956,17.63284778,17.86014341,18-08-2018
1292,17.7464956,17.63264731,17.86034389,19-08-2018
1293,17.7464956,17.63244718,17.86054401,20-08-2018
1294,17.7464956,17.63224741,17.86074379,21-08-2018
1295,17.7464956,17.63204798,17.86094321,22-08-2018
1296,17.7464956,17.6318489,17.86114229,23-08-2018
1297,17.7464956,17.63165017,17.86134102,24-08-2018
1298,17.7464956,17.63145178,17.86153942,25-08-2018
1299,17.7464956,17.63125373,17.86173746,26-08-2018
1300,17.7464956,17.63105602,17.86193517,27-08-2018
1301,17.7464956,17.63085865,17.86213254,28-08-2018
1302,17.7464956,17.63066161,17.86232958,29-08-2018
1303,17.7464956,17.63046491,17.86252628,30-08-2018
1304,17.7464956,17.63026855,17.86272265,31-08-2018
1305,17.7464956,17.63007251,17.86291868,01-09-2018
1306,17.7464956,17.6298768,17.86311439,02-09-2018
1307,17.7464956,17.62968142,17.86330977,03-09-2018
1308,17.7464956,17.62948637,17.86350482,04-09-2018
1309,17.7464956,17.62929164,17.86369955,05-09-2018
1310,17.7464956,17.62909724,17.86389395,06-09-2018
1311,17.7464956,17.62890315,17.86408804,07-09-2018
1312,17.7464956,17.62870939,17.8642818,08-09-2018
1313,17.7464956,17.62851595,17.86447525,09-09-2018
1314,17.7464956,17.62832282,17.86466838,10-09-2018
1315,17.7464956,17.62813,17.86486119,11-09-2018
1316,17.7464956,17.6279375,17.86505369,12-09-2018
1317,17.7464956,17.62774531,17.86524588,13-09-2018
1318,17.7464956,17.62755344,17.86543776,14-09-2018
1319,17.7464956,17.62736187,17.86562932,15-09-2018
1320,17.7464956,17.62717061,17.86582059,16-09-2018
1321,17.7464956,17.62697965,17.86601154,17-09-2018
1322,17.7464956,17.626789,17.86620219,18-09-2018
1323,17.7464956,17.62659865,17.86639254,19-09-2018
1324,17.7464956,17.62640861,17.86658258,20-09-2018
1325,17.7464956,17.62621886,17.86677233,21-09-2018
1326,17.7464956,17.62602942,17.86696178,22-09-2018
1327,17.7464956,17.62584027,17.86715092,23-09-2018
1328,17.7464956,17.62565142,17.86733978,24-09-2018
1329,17.7464956,17.62546286,17.86752834,25-09-2018
1330,17.7464956,17.62527459,17.8677166,26-09-2018
1331,17.7464956,17.62508662,17.86790457,27-09-2018
1332,17.7464956,17.62489894,17.86809226,28-09-2018
1333,17.7464956,17.62471154,17.86827965,29-09-2018
1334,17.7464956,17.62452444,17.86846675,30-09-2018
1335,17.7464956,17.62433762,17.86865357,01-10-2018
1336,17.7464956,17.62415109,17.86884011,02-10-2018
1337,17.7464956,17.62396484,17.86902635,03-10-2018
1338,17.7464956,17.62377887,17.86921232,04-10-2018
1339,17.7464956,17.62359319,17.86939801,05-10-2018
1340,17.7464956,17.62340778,17.86958341,06-10-2018
1341,17.7464956,17.62322266,17.86976854,07-10-2018
1342,17.7464956,17.62303781,17.86995339,08-10-2018
1343,17.7464956,17.62285323,17.87013796,09-10-2018
1344,17.7464956,17.62266894,17.87032226,10-10-2018
1345,17.7464956,17.62248491,17.87050628,11-10-2018
1346,17.7464956,17.62230116,17.87069003,12-10-2018
1347,17.7464956,17.62211768,17.87087351,13-10-2018
1348,17.7464956,17.62193447,17.87105672,14-10-2018
1349,17.7464956,17.62175153,17.87123966,15-10-2018
1350,17.7464956,17.62156886,17.87142233,16-10-2018
1351,17.7464956,17.62138646,17.87160474,17-10-2018
1352,17.7464956,17.62120432,17.87178688,18-10-2018
1353,17.7464956,17.62102244,17.87196875,19-10-2018
1354,17.7464956,17.62084083,17.87215036,20-10-2018
1355,17.7464956,17.62065948,17.87233171,21-10-2018
1356,17.7464956,17.62047839,17.8725128,22-10-2018
1357,17.7464956,17.62029756,17.87269363,23-10-2018
1358,17.7464956,17.62011699,17.8728742,24-10-2018
1359,17.7464956,17.61993668,17.87305451,25-10-2018
1360,17.7464956,17.61975662,17.87323457,26-10-2018
1361,17.7464956,17.61957682,17.87341437,27-10-2018
1362,17.7464956,17.61939728,17.87359392,28-10-2018
1363,17.7464956,17.61921798,17.87377321,29-10-2018
1364,17.7464956,17.61903894,17.87395225,30-10-2018
1365,17.7464956,17.61886015,17.87413104,31-10-2018
1366,17.7464956,17.61868161,17.87430958,01-11-2018
1367,17.7464956,17.61850332,17.87448787,02-11-2018
1368,17.7464956,17.61832528,17.87466591,03-11-2018
1369,17.7464956,17.61814748,17.87484371,04-11-2018
1370,17.7464956,17.61796993,17.87502126,05-11-2018
1371,17.7464956,17.61779263,17.87519856,06-11-2018
1372,17.7464956,17.61761557,17.87537562,07-11-2018
1373,17.7464956,17.61743875,17.87555244,08-11-2018
1374,17.7464956,17.61726217,17.87572902,09-11-2018
1375,17.7464956,17.61708584,17.87590535,10-11-2018
1376,17.7464956,17.61690974,17.87608145,11-11-2018
1377,17.7464956,17.61673389,17.87625731,12-11-2018
1378,17.7464956,17.61655827,17.87643292,13-11-2018
1379,17.7464956,17.61638289,17.8766083,14-11-2018
1380,17.7464956,17.61620774,17.87678345,15-11-2018
1381,17.7464956,17.61603283,17.87695836,16-11-2018
1382,17.7464956,17.61585816,17.87713303,17-11-2018
1383,17.7464956,17.61568372,17.87730748,18-11-2018
1384,17.7464956,17.61550951,17.87748169,19-11-2018
1385,17.7464956,17.61533553,17.87765567,20-11-2018
1386,17.7464956,17.61516178,17.87782941,21-11-2018
1387,17.7464956,17.61498826,17.87800293,22-11-2018
1388,17.7464956,17.61481497,17.87817622,23-11-2018
1389,17.7464956,17.61464191,17.87834929,24-11-2018
1390,17.7464956,17.61446907,17.87852212,25-11-2018
1391,17.7464956,17.61429646,17.87869473,26-11-2018
1392,17.7464956,17.61412408,17.87886711,27-11-2018
1393,17.7464956,17.61395192,17.87903928,28-11-2018
1394,17.7464956,17.61377998,17.87921121,29-11-2018
1395,17.7464956,17.61360827,17.87938293,30-11-2018
1396,17.7464956,17.61343677,17.87955442,01-12-2018
1397,17.7464956,17.6132655,17.87972569,02-12-2018
1398,17.7464956,17.61309445,17.87989674,03-12-2018
